Epoch 1, Loss: 0.6842, Train Accuracy: 0.5842, Test Accuracy: 0.6800, lr: 0.002
Epoch 2, Loss: 0.6818, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 3, Loss: 0.6794, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 4, Loss: 0.6821, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 5, Loss: 0.6793, Train Accuracy: 0.5895, Test Accuracy: 0.6822, lr: 0.002
Epoch 6, Loss: 0.6788, Train Accuracy: 0.5975, Test Accuracy: 0.6833, lr: 0.002
Epoch 7, Loss: 0.6787, Train Accuracy: 0.5985, Test Accuracy: 0.6840, lr: 0.002
Epoch 8, Loss: 0.6785, Train Accuracy: 0.5995, Test Accuracy: 0.6854, lr: 0.002
Epoch 9, Loss: 0.6786, Train Accuracy: 0.6005, Test Accuracy: 0.6800, lr: 0.002
Epoch 1, Loss: 0.6824, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 2, Loss: 0.6785, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 3, Loss: 0.6791, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 4, Loss: 0.6793, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 5, Loss: 0.6838, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 6, Loss: 0.6811, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 7, Loss: 0.6783, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 8, Loss: 0.6783, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 9, Loss: 0.6794, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 10, Loss: 0.6788, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 11, Loss: 0.6785, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 12, Loss: 0.6781, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 13, Loss: 0.6778, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 14, Loss: 0.6783, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 15, Loss: 0.6782, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 16, Loss: 0.6774, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 17, Loss: 0.6783, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 18, Loss: 0.6782, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 19, Loss: 0.6790, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 20, Loss: 0.6777, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 21, Loss: 0.6785, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 22, Loss: 0.6782, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 23, Loss: 0.6780, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 24, Loss: 0.6789, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 25, Loss: 0.6788, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 26, Loss: 0.6781, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 27, Loss: 0.6790, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 28, Loss: 0.6777, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 29, Loss: 0.6791, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 30, Loss: 0.6783, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 31, Loss: 0.6792, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 32, Loss: 0.6792, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 33, Loss: 0.6782, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 34, Loss: 0.6785, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 35, Loss: 0.6779, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 36, Loss: 0.6788, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 37, Loss: 0.6781, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 38, Loss: 0.6780, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 39, Loss: 0.6774, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 40, Loss: 0.6782, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 41, Loss: 0.6764, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 42, Loss: 0.6812, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 43, Loss: 0.6776, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 44, Loss: 0.6773, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 45, Loss: 0.6777, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 46, Loss: 0.6774, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 47, Loss: 0.6764, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 48, Loss: 0.6782, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
Epoch 49, Loss: 0.6793, Train Accuracy: 0.5875, Test Accuracy: 0.6800, lr: 0.002
